from_id,id,recorded_at,relation_type,responsible_workflow,schema_name,schema_version,status,supersedes_id,to_id
unit.o018.lab.ch11.ex-11-13,relation.adapts.unit.o018.lab.ch11.ex-11-13.unit.r017.book1.ch11.text-b.ex-004,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-b.ex-004
unit.o018.lab.ch11.ex-11-14,relation.adapts.unit.o018.lab.ch11.ex-11-14.unit.r017.book1.ch11.text-b.ex-005,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-b.ex-005
unit.o018.lab.ch11.ex-11-15,relation.adapts.unit.o018.lab.ch11.ex-11-15.unit.r017.book1.ch11.text-b.ex-006,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-b.ex-006
unit.o018.lab.ch11.ex-11-16,relation.adapts.unit.o018.lab.ch11.ex-11-16.unit.r017.book1.ch11.text-b.ex-007,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-b.ex-007
unit.o018.lab.ch11.ex-11-17,relation.adapts.unit.o018.lab.ch11.ex-11-17.unit.r017.book1.ch11.text-b.ex-008,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-b.ex-008
unit.o018.lab.ch11.ex-11-2,relation.adapts.unit.o018.lab.ch11.ex-11-2.unit.r017.book1.ch11.text-a.ex-002,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-a.ex-002
unit.o018.lab.ch11.ex-11-3,relation.adapts.unit.o018.lab.ch11.ex-11-3.unit.r017.book1.ch11.text-a.ex-003,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-a.ex-003
unit.o018.lab.ch11.ex-11-4,relation.adapts.unit.o018.lab.ch11.ex-11-4.unit.r017.book1.ch11.text-a.ex-004,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-a.ex-004
unit.o018.lab.ch11.ex-11-5,relation.adapts.unit.o018.lab.ch11.ex-11-5.unit.r017.book1.ch11.text-a.ex-005,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-a.ex-005
unit.o018.lab.ch11.ex-11-6,relation.adapts.unit.o018.lab.ch11.ex-11-6.unit.r017.book1.ch11.text-a.ex-006,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-a.ex-006
unit.o018.lab.ch11.ex-11-7,relation.adapts.unit.o018.lab.ch11.ex-11-7.unit.r017.book1.ch11.text-a.ex-007,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-a.ex-007
unit.o018.lab.ch11.ex-11-8,relation.adapts.unit.o018.lab.ch11.ex-11-8.unit.r017.book1.ch11.text-a.ex-008,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-a.ex-008
unit.o018.lab.ch11.ex-11-9,relation.adapts.unit.o018.lab.ch11.ex-11-9.unit.r017.book1.ch11.text-a.ex-009,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-a.ex-009
unit.o018.lab.ch11,relation.adapts.unit.o018.lab.ch11.unit.r017.book1.ch11,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11
unit.o018.lab.ch12.ex-12-1,relation.adapts.unit.o018.lab.ch12.ex-12-1.unit.r017.book1.ch12.text.ex-001,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch12.text.ex-001
unit.o018.lab.ch12.ex-12-2,relation.adapts.unit.o018.lab.ch12.ex-12-2.unit.r017.book1.ch12.text.ex-002,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch12.text.ex-002
unit.o018.lab.ch12.ex-12-3,relation.adapts.unit.o018.lab.ch12.ex-12-3.unit.r017.book1.ch12.text.ex-003,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch12.text.ex-003
unit.o018.lab.ch12.ex-12-4,relation.adapts.unit.o018.lab.ch12.ex-12-4.unit.r017.book1.ch12.text.ex-004,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch12.text.ex-004
unit.o018.lab.ch12.ex-12-5,relation.adapts.unit.o018.lab.ch12.ex-12-5.unit.r017.book1.ch12.text.ex-005,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch12.text.ex-005
unit.o018.lab.ch12.ex-12-6,relation.adapts.unit.o018.lab.ch12.ex-12-6.unit.r017.book1.ch12.text.ex-006,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch12.text.ex-006
unit.o018.lab.ch12.ex-12-7,relation.adapts.unit.o018.lab.ch12.ex-12-7.unit.r017.book1.ch12.text.ex-007,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch12.text.ex-007
unit.o018.lab.ch12.ex-12-8,relation.adapts.unit.o018.lab.ch12.ex-12-8.unit.r017.book1.ch12.text.ex-008,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch12.text.ex-008
unit.o018.lab.ch12.ex-12-9,relation.adapts.unit.o018.lab.ch12.ex-12-9.unit.r017.book1.ch12.text.ex-009,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch12.text.ex-009
unit.o018.lab.ch12,relation.adapts.unit.o018.lab.ch12.unit.r017.book1.ch12,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch12
unit.o018.lab.ch13.ex-13-1,relation.adapts.unit.o018.lab.ch13.ex-13-1.unit.r017.book1.ch13.text.ex-001,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch13.text.ex-001
unit.o018.lab.ch13.ex-13-10,relation.adapts.unit.o018.lab.ch13.ex-13-10.unit.r017.book1.ch13.text.ex-010,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch13.text.ex-010
unit.o018.lab.ch13.ex-13-11,relation.adapts.unit.o018.lab.ch13.ex-13-11.unit.r017.book1.ch13.text.ex-011,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch13.text.ex-011
unit.o018.lab.ch13.ex-13-2,relation.adapts.unit.o018.lab.ch13.ex-13-2.unit.r017.book1.ch13.text.ex-002,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch13.text.ex-002
unit.o018.lab.ch13.ex-13-3,relation.adapts.unit.o018.lab.ch13.ex-13-3.unit.r017.book1.ch13.text.ex-003,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch13.text.ex-003
unit.o018.lab.ch13.ex-13-4,relation.adapts.unit.o018.lab.ch13.ex-13-4.unit.r017.book1.ch13.text.ex-004,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch13.text.ex-004
unit.o018.lab.ch13.ex-13-5,relation.adapts.unit.o018.lab.ch13.ex-13-5.unit.r017.book1.ch13.text.ex-005,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch13.text.ex-005
unit.o018.lab.ch13.ex-13-6,relation.adapts.unit.o018.lab.ch13.ex-13-6.unit.r017.book1.ch13.text.ex-006,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch13.text.ex-006
unit.o018.lab.ch13.ex-13-7,relation.adapts.unit.o018.lab.ch13.ex-13-7.unit.r017.book1.ch13.text.ex-007,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch13.text.ex-007
unit.o018.lab.ch13.ex-13-8,relation.adapts.unit.o018.lab.ch13.ex-13-8.unit.r017.book1.ch13.text.ex-008,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch13.text.ex-008
unit.o018.lab.ch13.ex-13-9,relation.adapts.unit.o018.lab.ch13.ex-13-9.unit.r017.book1.ch13.text.ex-009,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch13.text.ex-009
unit.o018.lab.ch13,relation.adapts.unit.o018.lab.ch13.unit.r017.book1.ch13,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch13
unit.o018.lab.ch14.ex-14-1,relation.adapts.unit.o018.lab.ch14.ex-14-1.unit.r017.book1.ch14.text.ex-001,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch14.text.ex-001
unit.o018.lab.ch14.ex-14-3,relation.adapts.unit.o018.lab.ch14.ex-14-3.unit.r017.book1.ch14.text.ex-003,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch14.text.ex-003
unit.o018.lab.ch14.ex-14-4,relation.adapts.unit.o018.lab.ch14.ex-14-4.unit.r017.book1.ch14.text.ex-004,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch14.text.ex-004
unit.o018.lab.ch14.ex-14-concept-16,relation.adapts.unit.o018.lab.ch14.ex-14-concept-16.unit.r017.book1.ch14.text.itemexercise-005,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch14.text.itemexercise-005
unit.o018.lab.ch14.ex-14-concept-17,relation.adapts.unit.o018.lab.ch14.ex-14-concept-17.unit.r017.book1.ch14.text.itemexercise-006,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch14.text.itemexercise-006
unit.o018.lab.ch14.ex-14-skill-12,relation.adapts.unit.o018.lab.ch14.ex-14-skill-12.unit.r017.book1.ch14.text.itemexercise-002,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch14.text.itemexercise-002
unit.o018.lab.ch14.ex-14-skill-13,relation.adapts.unit.o018.lab.ch14.ex-14-skill-13.unit.r017.book1.ch14.text.itemexercise-003,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch14.text.itemexercise-003
unit.o018.lab.ch14.ex-14-skill-14,relation.adapts.unit.o018.lab.ch14.ex-14-skill-14.unit.r017.book1.ch14.text.itemexercise-004,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch14.text.itemexercise-004
unit.o018.lab.ch14.ex-14-skill-9,relation.adapts.unit.o018.lab.ch14.ex-14-skill-9.unit.r017.book1.ch14.text.itemexercise-001,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch14.text.itemexercise-001
unit.o018.lab.ch14,relation.adapts.unit.o018.lab.ch14.unit.r017.book1.ch14,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch14
unit.o018.lab.ch15.ex-15-1,relation.adapts.unit.o018.lab.ch15.ex-15-1.unit.r017.book1.ch15.text.ex-001,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-001
unit.o018.lab.ch15.ex-15-10,relation.adapts.unit.o018.lab.ch15.ex-15-10.unit.r017.book1.ch15.text.ex-010,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-010
unit.o018.lab.ch15.ex-15-11,relation.adapts.unit.o018.lab.ch15.ex-15-11.unit.r017.book1.ch15.text.ex-011,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-011
unit.o018.lab.ch15.ex-15-12,relation.adapts.unit.o018.lab.ch15.ex-15-12.unit.r017.book1.ch15.text.ex-012,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-012
unit.o018.lab.ch15.ex-15-13,relation.adapts.unit.o018.lab.ch15.ex-15-13.unit.r017.book1.ch15.text.ex-013,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-013
unit.o018.lab.ch15.ex-15-14,relation.adapts.unit.o018.lab.ch15.ex-15-14.unit.r017.book1.ch15.text.ex-014,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-014
unit.o018.lab.ch15.ex-15-15,relation.adapts.unit.o018.lab.ch15.ex-15-15.unit.r017.book1.ch15.text.ex-015,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-015
unit.o018.lab.ch15.ex-15-16,relation.adapts.unit.o018.lab.ch15.ex-15-16.unit.r017.book1.ch15.text.ex-016,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-016
unit.o018.lab.ch15.ex-15-2,relation.adapts.unit.o018.lab.ch15.ex-15-2.unit.r017.book1.ch15.text.ex-002,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-002
unit.o018.lab.ch15.ex-15-3,relation.adapts.unit.o018.lab.ch15.ex-15-3.unit.r017.book1.ch15.text.ex-003,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-003
unit.o018.lab.ch15.ex-15-4,relation.adapts.unit.o018.lab.ch15.ex-15-4.unit.r017.book1.ch15.text.ex-004,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-004
unit.o018.lab.ch15.ex-15-5,relation.adapts.unit.o018.lab.ch15.ex-15-5.unit.r017.book1.ch15.text.ex-005,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-005
unit.o018.lab.ch15.ex-15-6,relation.adapts.unit.o018.lab.ch15.ex-15-6.unit.r017.book1.ch15.text.ex-006,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-006
unit.o018.lab.ch15.ex-15-7,relation.adapts.unit.o018.lab.ch15.ex-15-7.unit.r017.book1.ch15.text.ex-007,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-007
unit.o018.lab.ch15.ex-15-8,relation.adapts.unit.o018.lab.ch15.ex-15-8.unit.r017.book1.ch15.text.ex-008,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-008
unit.o018.lab.ch15.ex-15-9,relation.adapts.unit.o018.lab.ch15.ex-15-9.unit.r017.book1.ch15.text.ex-009,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15.text.ex-009
unit.o018.lab.ch15,relation.adapts.unit.o018.lab.ch15.unit.r017.book1.ch15,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch15
unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-001,relation.answers.unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-001.unit.r017.book1.ch02.text.learningcheckpoint-001,2026-08-23T00:00:00+02:00,answers,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch02.text.learningcheckpoint-001
unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-002,relation.answers.unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-002.unit.r017.book1.ch05.text.learningcheckpoint-001,2026-08-23T00:00:00+02:00,answers,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch05.text.learningcheckpoint-001
unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-003,relation.answers.unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-003.unit.r017.book1.ch04.text-a.learningcheckpoint-001,2026-08-23T00:00:00+02:00,answers,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch04.text-a.learningcheckpoint-001
unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-004,relation.answers.unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-004.unit.r017.book1.ch07.text.learningcheckpoint-001,2026-08-23T00:00:00+02:00,answers,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch07.text.learningcheckpoint-001
unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-005,relation.answers.unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-005.unit.r017.book1.ch07.text.learningcheckpoint-002,2026-08-23T00:00:00+02:00,answers,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch07.text.learningcheckpoint-002
unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-006,relation.answers.unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-006.unit.r017.book1.ch07.text.learningcheckpoint-003,2026-08-23T00:00:00+02:00,answers,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch07.text.learningcheckpoint-003
unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-007,relation.answers.unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-007.unit.r017.book1.ch10.text.learningcheckpoint-001,2026-08-23T00:00:00+02:00,answers,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch10.text.learningcheckpoint-001
unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-008,relation.answers.unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-008.unit.r017.book1.ch10.text.learningcheckpoint-002,2026-08-23T00:00:00+02:00,answers,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch10.text.learningcheckpoint-002
unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-009,relation.answers.unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-009.unit.r017.book1.ch11.text-a.learningcheckpoint-001,2026-08-23T00:00:00+02:00,answers,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-a.learningcheckpoint-001
unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-010,relation.answers.unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-010.unit.r017.book1.ch11.text-a.learningcheckpoint-002,2026-08-23T00:00:00+02:00,answers,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-a.learningcheckpoint-002
unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-011,relation.answers.unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-011.unit.r017.book1.ch11.text-b.learningcheckpoint-001,2026-08-23T00:00:00+02:00,answers,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-b.learningcheckpoint-001
unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-012,relation.answers.unit.r017.book1.backmatter.checkpoint-answers.checkpointanswer-012.unit.r017.book1.ch14.text.learningcheckpoint-001,2026-08-23T00:00:00+02:00,answers,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch14.text.learningcheckpoint-001
unit.r017.book1.backmatter.checkpoint-answers,relation.answers.unit.r017.book1.backmatter.checkpoint-answers.unit.r017.book1,2026-08-23T00:00:00+02:00,answers,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1
correction.r017.ch04-multicommodity-topology-solution,relation.ch04-multicommodity-native-correction,2026-08-23T00:00:00+02:00,corrects,codex-r017-o018-id-production,interlanguage.relation,0.1.0,applied_in_target,,segment.r017.book1.ch04.text-b.target-native-multicommodity-routing
unit.o018.lab.attribution.heading-001,relation.contains.unit.o018.lab.attribution.heading-001.unit.o018.lab.attribution.heading-002,2026-08-23T00:00:00+02:00,contains,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.o018.lab.attribution.heading-002
unit.o018.lab.attribution.heading-001,relation.contains.unit.o018.lab.attribution.heading-001.unit.o018.lab.attribution.heading-003,2026-08-23T00:00:00+02:00,contains,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.o018.lab.attribution.heading-003
unit.o018.lab.attribution.heading-001,relation.contains.unit.o018.lab.attribution.heading-001.unit.o018.lab.attribution.heading-004,2026-08-23T00:00:00+02:00,contains,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.o018.lab.attribution.heading-004
