from_id,id,recorded_at,relation_type,responsible_workflow,schema_name,schema_version,status,supersedes_id,to_id
unit.o018.lab.ch10.ex-10-1,relation.adapts.unit.o018.lab.ch10.ex-10-1.unit.r017.book1.ch10.text.ex-001,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch10.text.ex-001
unit.o018.lab.ch10.ex-10-10,relation.adapts.unit.o018.lab.ch10.ex-10-10.unit.r017.book1.ch10.text.ex-010,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch10.text.ex-010
unit.o018.lab.ch10.ex-10-11,relation.adapts.unit.o018.lab.ch10.ex-10-11.unit.r017.book1.ch10.text.ex-011,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch10.text.ex-011
unit.o018.lab.ch10.ex-10-12,relation.adapts.unit.o018.lab.ch10.ex-10-12.unit.r017.book1.ch10.text.ex-012,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch10.text.ex-012
unit.o018.lab.ch10.ex-10-2,relation.adapts.unit.o018.lab.ch10.ex-10-2.unit.r017.book1.ch10.text.ex-002,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch10.text.ex-002
unit.o018.lab.ch10.ex-10-3,relation.adapts.unit.o018.lab.ch10.ex-10-3.unit.r017.book1.ch10.text.ex-003,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch10.text.ex-003
unit.o018.lab.ch10.ex-10-4,relation.adapts.unit.o018.lab.ch10.ex-10-4.unit.r017.book1.ch10.text.ex-004,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch10.text.ex-004
unit.o018.lab.ch10.ex-10-5,relation.adapts.unit.o018.lab.ch10.ex-10-5.unit.r017.book1.ch10.text.ex-005,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch10.text.ex-005
unit.o018.lab.ch10.ex-10-6,relation.adapts.unit.o018.lab.ch10.ex-10-6.unit.r017.book1.ch10.text.ex-006,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch10.text.ex-006
unit.o018.lab.ch10.ex-10-7,relation.adapts.unit.o018.lab.ch10.ex-10-7.unit.r017.book1.ch10.text.ex-007,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch10.text.ex-007
unit.o018.lab.ch10.ex-10-8,relation.adapts.unit.o018.lab.ch10.ex-10-8.unit.r017.book1.ch10.text.ex-008,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch10.text.ex-008
unit.o018.lab.ch10.ex-10-9,relation.adapts.unit.o018.lab.ch10.ex-10-9.unit.r017.book1.ch10.text.ex-009,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch10.text.ex-009
unit.o018.lab.ch10,relation.adapts.unit.o018.lab.ch10.unit.r017.book1.ch10,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch10
unit.o018.lab.ch11.ex-11-1,relation.adapts.unit.o018.lab.ch11.ex-11-1.unit.r017.book1.ch11.text-a.ex-001,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-a.ex-001
unit.o018.lab.ch11.ex-11-10,relation.adapts.unit.o018.lab.ch11.ex-11-10.unit.r017.book1.ch11.text-b.ex-001,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-b.ex-001
unit.o018.lab.ch11.ex-11-11,relation.adapts.unit.o018.lab.ch11.ex-11-11.unit.r017.book1.ch11.text-b.ex-002,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-b.ex-002
unit.o018.lab.ch11.ex-11-12,relation.adapts.unit.o018.lab.ch11.ex-11-12.unit.r017.book1.ch11.text-b.ex-003,2026-08-23T00:00:00+02:00,adapts,codex-r017-o018-id-production,interlanguage.relation,0.1.0,active,,unit.r017.book1.ch11.text-b.ex-003
